80000002-0000-ee00-b63f-84710c7967bb|2016-11-23 09:27:03.8564|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/Games/Index
80000002-0000-ee00-b63f-84710c7967bb|2016-11-23 09:27:19.1813|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/Games/Index
80000004-0000-ef00-b63f-84710c7967bb|2016-11-23 09:32:50.5345|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
80000004-0000-ef00-b63f-84710c7967bb|2016-11-23 09:32:57.3890|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
80000012-0003-ec00-b63f-84710c7967bb|2016-11-23 09:35:05.6347|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
80000012-0003-ec00-b63f-84710c7967bb|2016-11-23 09:35:09.6329|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
80000014-0003-ec00-b63f-84710c7967bb|2016-11-23 09:36:10.5633|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
80000014-0003-ec00-b63f-84710c7967bb|2016-11-23 09:36:10.5763|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
800001fd-0001-ec00-b63f-84710c7967bb|2016-11-23 09:36:32.1665|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/Games/Index
800001fd-0001-ec00-b63f-84710c7967bb|2016-11-23 09:36:35.1203|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/Games/Index
800001fd-0001-ec00-b63f-84710c7967bb|2016-11-23 09:36:39.4036|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/Games/Index
80000206-0001-ec00-b63f-84710c7967bb|2016-11-23 09:36:57.6331|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/games
80000206-0001-ec00-b63f-84710c7967bb|2016-11-23 09:36:57.6531|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/games
80000206-0001-ec00-b63f-84710c7967bb|2016-11-23 09:36:57.6987|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/games
80000208-0001-ec00-b63f-84710c7967bb|2016-11-23 09:36:58.9666|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/games
80000208-0001-ec00-b63f-84710c7967bb|2016-11-23 09:36:58.9811|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/games
80000208-0001-ec00-b63f-84710c7967bb|2016-11-23 09:36:59.0253|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/games
8000020a-0001-ec00-b63f-84710c7967bb|2016-11-23 09:36:59.7554|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/games
8000020a-0001-ec00-b63f-84710c7967bb|2016-11-23 09:36:59.7694|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/games
8000020a-0001-ec00-b63f-84710c7967bb|2016-11-23 09:36:59.8262|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/games
8000020c-0001-ec00-b63f-84710c7967bb|2016-11-23 09:37:00.5974|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/games
8000020c-0001-ec00-b63f-84710c7967bb|2016-11-23 09:37:00.6104|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/games
8000020c-0001-ec00-b63f-84710c7967bb|2016-11-23 09:37:00.6714|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/games
80000007-0003-e800-b63f-84710c7967bb|2016-11-23 09:38:43.7253|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
80000007-0003-e800-b63f-84710c7967bb|2016-11-23 09:38:47.3036|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
80000007-0003-e800-b63f-84710c7967bb|2016-11-23 09:38:47.8599|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
8000020d-0002-f300-b63f-84710c7967bb|2016-11-23 09:42:49.1619|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
8000020d-0002-f300-b63f-84710c7967bb|2016-11-23 09:42:53.4593|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
8000020d-0002-f300-b63f-84710c7967bb|2016-11-23 09:42:54.0150|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
8000002e-0003-f400-b63f-84710c7967bb|2016-11-23 09:46:34.7885|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
8000002e-0003-f400-b63f-84710c7967bb|2016-11-23 09:46:38.2099|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
