80000002-0002-ed00-b63f-84710c7967bb|2016-11-24 12:43:34.9355|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
80000002-0002-ed00-b63f-84710c7967bb|2016-11-24 12:43:43.9112|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
80000002-0002-ed00-b63f-84710c7967bb|2016-11-24 12:43:44.5304|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
80000008-0002-ed00-b63f-84710c7967bb|2016-11-24 12:43:51.9982|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/shipper
80000007-0001-f200-b63f-84710c7967bb|2016-11-24 12:50:00.2238|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
80000017-0003-f400-b63f-84710c7967bb|2016-11-24 12:50:03.3414|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/shipper
80000017-0003-f400-b63f-84710c7967bb|2016-11-24 12:50:04.9166|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/shipper
80000007-0001-f200-b63f-84710c7967bb|2016-11-24 12:50:06.1152|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
80000007-0001-f200-b63f-84710c7967bb|2016-11-24 12:50:06.4376|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
80000028-0001-eb00-b63f-84710c7967bb|2016-11-24 12:52:54.3236|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/shipper
8000000d-0001-f300-b63f-84710c7967bb|2016-11-24 12:52:54.3791|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
80000028-0001-eb00-b63f-84710c7967bb|2016-11-24 12:52:55.9186|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/shipper
8000000d-0001-f300-b63f-84710c7967bb|2016-11-24 12:52:58.1106|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
8000000d-0001-f300-b63f-84710c7967bb|2016-11-24 12:52:58.5144|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
