8000000c-0002-f300-b63f-84710c7967bb|2016-11-25 12:13:23.2326|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
80000009-0000-f700-b63f-84710c7967bb|2016-11-25 12:15:32.8984|DEBUG|ips|Client info: IP = 127.0.0.1; URI = http://localhost:65078/
80000009-0000-f700-b63f-84710c7967bb|2016-11-25 12:15:37.2235|DEBUG|ips|Client info: IP = 127.0.0.1; URI = http://localhost:65078/
80000009-0000-f700-b63f-84710c7967bb|2016-11-25 12:15:45.8348|DEBUG|ips|Client info: IP = 127.0.0.1; URI = http://localhost:65078/
8000000a-0000-f700-b63f-84710c7967bb|2016-11-25 12:15:46.6418|DEBUG|ips|Client info: IP = 127.0.0.1; URI = http://localhost:65078/
8000000a-0000-f700-b63f-84710c7967bb|2016-11-25 12:15:46.6588|DEBUG|ips|Client info: IP = 127.0.0.1; URI = http://localhost:65078/
8000000a-0000-f700-b63f-84710c7967bb|2016-11-25 12:15:46.7879|DEBUG|ips|Client info: IP = 127.0.0.1; URI = http://localhost:65078/
80000029-0001-f900-b63f-84710c7967bb|2016-11-25 12:17:54.1236|DEBUG|ips|Client info: IP = 127.0.0.1; URI = http://localhost:65078/
80000029-0001-f900-b63f-84710c7967bb|2016-11-25 12:17:55.6279|DEBUG|ips|Client info: IP = 127.0.0.1; URI = http://localhost:65078/
80000029-0001-f900-b63f-84710c7967bb|2016-11-25 12:17:58.7578|DEBUG|ips|Client info: IP = 127.0.0.1; URI = http://localhost:65078/
8000002b-0001-f900-b63f-84710c7967bb|2016-11-25 12:18:06.5630|DEBUG|ips|Client info: IP = 127.0.0.1; URI = http://localhost:65078/games?PageSize=0
8000002b-0001-f900-b63f-84710c7967bb|2016-11-25 12:18:06.5700|DEBUG|ips|Client info: IP = 127.0.0.1; URI = http://localhost:65078/games?PageSize=0
8000002b-0001-f900-b63f-84710c7967bb|2016-11-25 12:18:06.6556|DEBUG|ips|Client info: IP = 127.0.0.1; URI = http://localhost:65078/games?PageSize=0
8000002d-0001-f900-b63f-84710c7967bb|2016-11-25 12:18:27.4813|DEBUG|ips|Client info: IP = 127.0.0.1; URI = http://localhost:65078/games?PageSize=0&Name=&MinPrice=&MaxPrice=&DateOfAdding=threeyear&FilterBy=Popularity
8000002d-0001-f900-b63f-84710c7967bb|2016-11-25 12:18:27.4988|DEBUG|ips|Client info: IP = 127.0.0.1; URI = http://localhost:65078/games?PageSize=0&Name=&MinPrice=&MaxPrice=&DateOfAdding=threeyear&FilterBy=Popularity
8000002d-0001-f900-b63f-84710c7967bb|2016-11-25 12:18:27.5799|DEBUG|ips|Client info: IP = 127.0.0.1; URI = http://localhost:65078/games?PageSize=0&Name=&MinPrice=&MaxPrice=&DateOfAdding=threeyear&FilterBy=Popularity
8000002f-0001-f900-b63f-84710c7967bb|2016-11-25 12:18:36.5864|DEBUG|ips|Client info: IP = 127.0.0.1; URI = http://localhost:65078/games?Name=&MinPrice=&MaxPrice=&DateOfAdding=threeyear&FilterBy=Popularity&PageSize=0
8000002f-0001-f900-b63f-84710c7967bb|2016-11-25 12:18:36.5864|DEBUG|ips|Client info: IP = 127.0.0.1; URI = http://localhost:65078/games?Name=&MinPrice=&MaxPrice=&DateOfAdding=threeyear&FilterBy=Popularity&PageSize=0
8000002f-0001-f900-b63f-84710c7967bb|2016-11-25 12:18:36.6749|DEBUG|ips|Client info: IP = 127.0.0.1; URI = http://localhost:65078/games?Name=&MinPrice=&MaxPrice=&DateOfAdding=threeyear&FilterBy=Popularity&PageSize=0
80000006-0001-f300-b63f-84710c7967bb|2016-11-25 12:20:07.8936|DEBUG|ips|Client info: IP = 127.0.0.1; URI = http://localhost:65078/
80000006-0001-f300-b63f-84710c7967bb|2016-11-25 12:20:09.3292|DEBUG|ips|Client info: IP = 127.0.0.1; URI = http://localhost:65078/
80000006-0001-f300-b63f-84710c7967bb|2016-11-25 12:20:12.2649|DEBUG|ips|Client info: IP = 127.0.0.1; URI = http://localhost:65078/
80000008-0001-f300-b63f-84710c7967bb|2016-11-25 12:20:20.4111|DEBUG|ips|Client info: IP = 127.0.0.1; URI = http://localhost:65078/games?PageSize=0
80000008-0001-f300-b63f-84710c7967bb|2016-11-25 12:20:20.4161|DEBUG|ips|Client info: IP = 127.0.0.1; URI = http://localhost:65078/games?PageSize=0
80000008-0001-f300-b63f-84710c7967bb|2016-11-25 12:20:20.5098|DEBUG|ips|Client info: IP = 127.0.0.1; URI = http://localhost:65078/games?PageSize=0
8000000a-0001-f300-b63f-84710c7967bb|2016-11-25 12:20:40.0885|DEBUG|ips|Client info: IP = 127.0.0.1; URI = http://localhost:65078/games?PageSize=0&Name=&MinPrice=&MaxPrice=&DateOfAdding=week&FilterBy=PriceAsc
8000000a-0001-f300-b63f-84710c7967bb|2016-11-25 12:20:40.0885|DEBUG|ips|Client info: IP = 127.0.0.1; URI = http://localhost:65078/games?PageSize=0&Name=&MinPrice=&MaxPrice=&DateOfAdding=week&FilterBy=PriceAsc
8000000a-0001-f300-b63f-84710c7967bb|2016-11-25 12:20:40.1891|DEBUG|ips|Client info: IP = 127.0.0.1; URI = http://localhost:65078/games?PageSize=0&Name=&MinPrice=&MaxPrice=&DateOfAdding=week&FilterBy=PriceAsc
8000000c-0001-f300-b63f-84710c7967bb|2016-11-25 12:20:52.3578|DEBUG|ips|Client info: IP = 127.0.0.1; URI = http://localhost:65078/games?PageSize=0&Name=&MinPrice=&MaxPrice=&DateOfAdding=threeyear&FilterBy=PriceDesc
