80000010-0001-f900-b63f-84710c7967bb|2016-11-28 09:37:47.8074|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
80000011-0000-fd00-b63f-84710c7967bb|2016-11-28 09:46:08.4327|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
80000011-0000-fd00-b63f-84710c7967bb|2016-11-28 09:46:17.1287|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
8000000d-0000-ef00-b63f-84710c7967bb|2016-11-28 09:46:18.4193|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/game/Gta6_ThirdEdition/Comments
80000004-0003-e700-b63f-84710c7967bb|2016-11-28 10:02:09.8069|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
80000004-0003-e700-b63f-84710c7967bb|2016-11-28 10:02:14.7324|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
80000006-0003-e700-b63f-84710c7967bb|2016-11-28 10:02:24.6688|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/publisher/Details?companyName=Refrescos%20Americanas%20LTDA
8000000e-0003-e600-b63f-84710c7967bb|2016-11-28 10:35:50.3348|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
8000000e-0003-e600-b63f-84710c7967bb|2016-11-28 10:36:05.2150|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
80000144-0000-ee00-b63f-84710c7967bb|2016-11-28 10:39:05.4790|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
80000144-0000-ee00-b63f-84710c7967bb|2016-11-28 10:39:10.4798|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
80000146-0000-ee00-b63f-84710c7967bb|2016-11-28 10:39:16.0328|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/game/Game8_Game8/Details
80000017-0001-f200-b63f-84710c7967bb|2016-11-28 10:41:28.4321|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
8000011e-0000-f000-b63f-84710c7967bb|2016-11-28 10:41:45.1851|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
800000ae-0001-f800-b63f-84710c7967bb|2016-11-28 10:42:23.2688|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
800000ae-0001-f800-b63f-84710c7967bb|2016-11-28 10:42:28.5560|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
800000b0-0001-f800-b63f-84710c7967bb|2016-11-28 10:42:37.4223|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/publisher/Details?companyName=Exotic%20Liquids
800000b8-0000-fd00-b63f-84710c7967bb|2016-11-28 10:45:59.3193|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
800000b8-0000-fd00-b63f-84710c7967bb|2016-11-28 10:46:04.2330|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
800000ba-0000-fd00-b63f-84710c7967bb|2016-11-28 10:46:08.4774|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/game/5835a55b71c151964df0b64f/Details
80000268-0002-f700-b63f-84710c7967bb|2016-11-28 10:59:18.2376|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
80000268-0002-f700-b63f-84710c7967bb|2016-11-28 10:59:25.9470|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
8000026a-0002-f700-b63f-84710c7967bb|2016-11-28 11:00:17.9957|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/game/Game7_Game7/Details
8000002a-0000-f900-b63f-84710c7967bb|2016-11-28 11:01:25.1325|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
8000002a-0000-f900-b63f-84710c7967bb|2016-11-28 11:01:30.1713|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
