8000000a-0000-e600-b63f-84710c7967bb|2016-11-29 09:52:13.2804|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/Games/Update
80000006-0000-e100-b63f-84710c7967bb|2016-11-29 09:52:25.8480|DEBUG|ips|Client info: IP = 127.0.0.1; URI = http://localhost:65078/
80000006-0000-e100-b63f-84710c7967bb|2016-11-29 09:52:38.5098|DEBUG|ips|Client info: IP = 127.0.0.1; URI = http://localhost:65078/
80000006-0000-e100-b63f-84710c7967bb|2016-11-29 09:52:39.1634|DEBUG|ips|Client info: IP = 127.0.0.1; URI = http://localhost:65078/
8000000e-0000-e100-b63f-84710c7967bb|2016-11-29 09:53:08.9053|DEBUG|ips|Client info: IP = 127.0.0.1; URI = http://localhost:65078/game/Sims3_16in1/Details
8000000e-0000-e100-b63f-84710c7967bb|2016-11-29 09:53:12.5401|DEBUG|ips|Client info: IP = 127.0.0.1; URI = http://localhost:65078/game/Sims3_16in1/Details
80000010-0000-e100-b63f-84710c7967bb|2016-11-29 09:53:18.0259|DEBUG|ips|Client info: IP = 127.0.0.1; URI = http://localhost:65078/games/Update?key=Sims3_16in1
80000010-0000-e100-b63f-84710c7967bb|2016-11-29 09:53:18.3962|DEBUG|ips|Client info: IP = 127.0.0.1; URI = http://localhost:65078/games/Update?key=Sims3_16in1
80000012-0000-e100-b63f-84710c7967bb|2016-11-29 09:53:52.8286|DEBUG|ips|Client info: IP = 127.0.0.1; URI = http://localhost:65078/games/Update?key=Sims3_16in1
80000012-0000-e100-b63f-84710c7967bb|2016-11-29 09:53:56.5356|DEBUG|ips|Client info: IP = 127.0.0.1; URI = http://localhost:65078/games/Update?key=Sims3_16in1
80000014-0000-e100-b63f-84710c7967bb|2016-11-29 09:54:34.8404|DEBUG|ips|Client info: IP = 127.0.0.1; URI = http://localhost:65078/
80000014-0000-e100-b63f-84710c7967bb|2016-11-29 09:54:38.5350|DEBUG|ips|Client info: IP = 127.0.0.1; URI = http://localhost:65078/
