80000002-0001-ee00-b63f-84710c7967bb|2016-11-30 10:09:22.2627|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
80000004-0001-f200-b63f-84710c7967bb|2016-11-30 10:12:16.8852|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
80000004-0001-f200-b63f-84710c7967bb|2016-11-30 10:12:22.4285|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
80000004-0001-f200-b63f-84710c7967bb|2016-11-30 10:12:23.1533|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
80000042-0000-ec00-b63f-84710c7967bb|2016-11-30 10:13:37.1164|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
80000042-0000-ec00-b63f-84710c7967bb|2016-11-30 10:13:41.3367|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
80000042-0000-ec00-b63f-84710c7967bb|2016-11-30 10:13:42.0344|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
8000000f-0000-f100-b63f-84710c7967bb|2016-11-30 10:13:43.5222|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/Orders/History
80000124-0002-f100-b63f-84710c7967bb|2016-11-30 10:14:31.4059|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/Orders/History
80000014-0000-f300-b63f-84710c7967bb|2016-11-30 10:14:31.4679|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
8000001f-0002-f700-b63f-84710c7967bb|2016-11-30 10:18:55.1860|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
8000001f-0002-f700-b63f-84710c7967bb|2016-11-30 10:18:59.5238|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
8000001f-0002-f700-b63f-84710c7967bb|2016-11-30 10:19:00.1929|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
80000021-0002-f700-b63f-84710c7967bb|2016-11-30 10:19:08.7736|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/Orders/History
8000000c-0003-f000-b63f-84710c7967bb|2016-11-30 10:19:55.8509|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/Orders/History
80000023-0002-ee00-b63f-84710c7967bb|2016-11-30 10:19:55.9190|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
80000035-0001-f400-b63f-84710c7967bb|2016-11-30 10:22:18.5080|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/Orders/History
8000001f-0001-f800-b63f-84710c7967bb|2016-11-30 10:22:18.6067|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
8000001f-0002-ed00-b63f-84710c7967bb|2016-11-30 10:23:26.8206|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
800002fa-0000-ed00-b63f-84710c7967bb|2016-11-30 10:23:26.8567|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/Orders/History
8000042c-0002-f000-b63f-84710c7967bb|2016-11-30 10:28:19.2075|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
80000037-0000-f400-b63f-84710c7967bb|2016-11-30 10:28:20.1784|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/Orders/History
80000013-0000-fb00-b63f-84710c7967bb|2016-11-30 10:29:18.2617|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/Orders/History
80000326-0000-f600-b63f-84710c7967bb|2016-11-30 10:29:18.2867|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
8000001d-0002-f200-b63f-84710c7967bb|2016-11-30 10:30:32.3860|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/Orders/History
80000150-0003-fc00-b63f-84710c7967bb|2016-11-30 10:30:32.4460|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
8000003d-0000-f500-b63f-84710c7967bb|2016-11-30 10:32:24.4512|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/Orders/History
80000032-0002-ed00-b63f-84710c7967bb|2016-11-30 10:32:24.5122|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
80000031-0002-f200-b63f-84710c7967bb|2016-11-30 10:34:14.5479|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/Orders/History
80000029-0003-ef00-b63f-84710c7967bb|2016-11-30 10:34:14.6090|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
80000035-0001-ea00-b63f-84710c7967bb|2016-11-30 10:35:25.9196|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/Orders/History
80000024-0000-fb00-b63f-84710c7967bb|2016-11-30 10:35:25.9401|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
80000038-0003-f600-b63f-84710c7967bb|2016-11-30 10:37:42.2404|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/Orders/History
8000004f-0001-f200-b63f-84710c7967bb|2016-11-30 10:37:42.3095|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
80000453-0002-f000-b63f-84710c7967bb|2016-11-30 10:38:34.0961|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/Orders/History
80000050-0003-f700-b63f-84710c7967bb|2016-11-30 10:38:34.1832|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
800001d5-0000-eb00-b63f-84710c7967bb|2016-11-30 10:40:01.0478|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/Orders/History
8000022e-0001-ee00-b63f-84710c7967bb|2016-11-30 10:40:01.1148|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
800000c2-0000-ec00-b63f-84710c7967bb|2016-11-30 10:40:58.7764|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/Orders/History
80000141-0001-e800-b63f-84710c7967bb|2016-11-30 10:40:58.8344|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
80000038-0000-ea00-b63f-84710c7967bb|2016-11-30 10:42:03.0885|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/Orders/History
80000083-0002-ee00-b63f-84710c7967bb|2016-11-30 10:42:03.0885|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/Orders/History
80000039-0000-fc00-b63f-84710c7967bb|2016-11-30 10:43:24.6587|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/Orders/History
