80000009-0000-e600-b63f-84710c7967bb|2016-12-01 12:13:17.7528|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
80000009-0000-e600-b63f-84710c7967bb|2016-12-01 12:13:34.4118|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
80000009-0000-e600-b63f-84710c7967bb|2016-12-01 12:13:35.0467|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
80000004-0001-f300-b63f-84710c7967bb|2016-12-01 12:20:22.6211|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/Orders/History
80000004-0001-f300-b63f-84710c7967bb|2016-12-01 12:20:31.2056|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/Orders/History
80000004-0001-f300-b63f-84710c7967bb|2016-12-01 12:20:31.2376|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/Orders/History
80000004-0003-f100-b63f-84710c7967bb|2016-12-01 12:24:46.2626|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/orders/history?DateFrom=01%2F01%2F2015+00%3A00%3A00&DateTo=01%2F01%2F2018+00%3A00%3A00
80000004-0003-f100-b63f-84710c7967bb|2016-12-01 12:24:51.2940|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/orders/history?DateFrom=01%2F01%2F2015+00%3A00%3A00&DateTo=01%2F01%2F2018+00%3A00%3A00
80000004-0003-f100-b63f-84710c7967bb|2016-12-01 12:24:51.3090|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/orders/history?DateFrom=01%2F01%2F2015+00%3A00%3A00&DateTo=01%2F01%2F2018+00%3A00%3A00
80000006-0003-f100-b63f-84710c7967bb|2016-12-01 12:25:07.5238|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/orders/history?DateFrom=01%2F01%2F2015+00%3A00%3A00&DateTo=01%2F01%2F2016+00%3A00%3A00
80000006-0003-f100-b63f-84710c7967bb|2016-12-01 12:25:12.2221|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/orders/history?DateFrom=01%2F01%2F2015+00%3A00%3A00&DateTo=01%2F01%2F2016+00%3A00%3A00
80000006-0003-f100-b63f-84710c7967bb|2016-12-01 12:25:12.2221|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/orders/history?DateFrom=01%2F01%2F2015+00%3A00%3A00&DateTo=01%2F01%2F2016+00%3A00%3A00
80000017-0001-f900-b63f-84710c7967bb|2016-12-01 12:58:54.3348|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/Orders/History
80000017-0001-f900-b63f-84710c7967bb|2016-12-01 12:59:13.4410|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/Orders/History
80000017-0001-f900-b63f-84710c7967bb|2016-12-01 12:59:13.8913|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/Orders/History
8000000f-0000-eb00-b63f-84710c7967bb|2016-12-01 13:04:04.8249|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
8000000f-0000-eb00-b63f-84710c7967bb|2016-12-01 13:04:09.1591|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
8000000f-0000-eb00-b63f-84710c7967bb|2016-12-01 13:04:09.7225|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
80000034-0001-f400-b63f-84710c7967bb|2016-12-01 13:05:21.4338|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
80000034-0001-f400-b63f-84710c7967bb|2016-12-01 13:05:25.7772|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
80000034-0001-f400-b63f-84710c7967bb|2016-12-01 13:05:26.3427|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
8000002e-0001-f500-b63f-84710c7967bb|2016-12-01 13:11:21.3771|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
8000002e-0001-f500-b63f-84710c7967bb|2016-12-01 13:11:25.6131|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
8000002e-0001-f500-b63f-84710c7967bb|2016-12-01 13:11:26.2326|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
80000017-0000-f900-b63f-84710c7967bb|2016-12-01 13:12:24.6324|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
80000017-0000-f900-b63f-84710c7967bb|2016-12-01 13:12:28.9236|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
80000017-0000-f900-b63f-84710c7967bb|2016-12-01 13:12:29.4880|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
80000015-0001-ed00-b63f-84710c7967bb|2016-12-01 13:13:19.0774|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
80000015-0001-ed00-b63f-84710c7967bb|2016-12-01 13:13:24.6987|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
80000015-0001-ed00-b63f-84710c7967bb|2016-12-01 13:13:25.3032|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
80000045-0001-f800-b63f-84710c7967bb|2016-12-01 13:15:35.9555|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
80000045-0001-f800-b63f-84710c7967bb|2016-12-01 13:15:40.0828|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
80000045-0001-f800-b63f-84710c7967bb|2016-12-01 13:15:40.6522|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
80000047-0001-f800-b63f-84710c7967bb|2016-12-01 13:16:47.7577|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
80000047-0001-f800-b63f-84710c7967bb|2016-12-01 13:16:47.9898|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
80000047-0001-f800-b63f-84710c7967bb|2016-12-01 13:16:48.0689|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
80000535-0003-fd00-b63f-84710c7967bb|2016-12-01 13:18:33.3467|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
80000535-0003-fd00-b63f-84710c7967bb|2016-12-01 13:18:39.1618|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
80000535-0003-fd00-b63f-84710c7967bb|2016-12-01 13:18:39.7772|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
80000537-0003-fd00-b63f-84710c7967bb|2016-12-01 13:19:01.2586|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/Orders/History
80000537-0003-fd00-b63f-84710c7967bb|2016-12-01 13:19:09.3849|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/Orders/History
80000537-0003-fd00-b63f-84710c7967bb|2016-12-01 13:19:09.4159|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/Orders/History
80000cbb-0001-ec00-b63f-84710c7967bb|2016-12-01 13:22:40.9363|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
80000cbb-0001-ec00-b63f-84710c7967bb|2016-12-01 13:22:45.1956|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
80000cbb-0001-ec00-b63f-84710c7967bb|2016-12-01 13:22:45.8530|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
80000cbe-0001-ec00-b63f-84710c7967bb|2016-12-01 13:22:59.1813|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/orders/history
80000cbe-0001-ec00-b63f-84710c7967bb|2016-12-01 13:23:07.2897|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/orders/history
