80000007-0001-fd00-b63f-84710c7967bb|2016-12-02 09:33:23.8386|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
80000007-0001-fd00-b63f-84710c7967bb|2016-12-02 09:33:38.2821|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
80000007-0001-fd00-b63f-84710c7967bb|2016-12-02 09:33:39.0027|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
80000007-0000-f400-b63f-84710c7967bb|2016-12-02 09:34:18.9749|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/games/AddToBasket?gameId=5840609dd0c40ef0df844492&unitsInStock=22&_=1480664020417
8000000b-0001-fd00-b63f-84710c7967bb|2016-12-02 09:34:21.0894|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/orders/AddToBasket
8000000c-0001-fd00-b63f-84710c7967bb|2016-12-02 09:34:25.4180|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/basket
8000000c-0001-fd00-b63f-84710c7967bb|2016-12-02 09:34:28.0325|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/basket
8000000e-0001-fd00-b63f-84710c7967bb|2016-12-02 09:34:30.5733|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/games
8000000e-0001-fd00-b63f-84710c7967bb|2016-12-02 09:34:30.7385|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/games
8000000e-0001-fd00-b63f-84710c7967bb|2016-12-02 09:34:30.8084|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/games
80000010-0001-fd00-b63f-84710c7967bb|2016-12-02 09:34:36.4153|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/basket
80000010-0001-fd00-b63f-84710c7967bb|2016-12-02 09:34:38.7775|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/basket
80000018-0000-f100-b63f-84710c7967bb|2016-12-02 11:38:40.7674|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
80000018-0000-f100-b63f-84710c7967bb|2016-12-02 11:38:48.2312|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
80000018-0000-f100-b63f-84710c7967bb|2016-12-02 11:38:48.8256|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
80000025-0000-f700-b63f-84710c7967bb|2016-12-02 11:50:08.9080|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
80000025-0000-f700-b63f-84710c7967bb|2016-12-02 11:50:15.8581|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
80000025-0000-f700-b63f-84710c7967bb|2016-12-02 11:50:16.4699|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
80000027-0000-f700-b63f-84710c7967bb|2016-12-02 11:50:28.0339|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/games?Name=&MinPrice=&MaxPrice=&DateOfAdding=threeyear&FilterBy=Popularity
80000027-0000-f700-b63f-84710c7967bb|2016-12-02 11:50:28.3971|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/games?Name=&MinPrice=&MaxPrice=&DateOfAdding=threeyear&FilterBy=Popularity
