80000007-0000-ea00-b63f-84710c7967bb|2016-12-06 12:33:26.7782|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
80000024-0001-f700-b63f-84710c7967bb|2016-12-06 12:39:51.8967|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
80000024-0001-f700-b63f-84710c7967bb|2016-12-06 12:40:16.4849|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
8000000c-0003-f500-b63f-84710c7967bb|2016-12-06 12:41:44.4721|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
8000000c-0003-f500-b63f-84710c7967bb|2016-12-06 12:41:47.7068|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
80000016-0002-f000-b63f-84710c7967bb|2016-12-06 12:56:04.5522|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
80000016-0002-f000-b63f-84710c7967bb|2016-12-06 12:56:09.3508|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
80000027-0000-f400-b63f-84710c7967bb|2016-12-06 14:36:40.4214|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
80000027-0000-f400-b63f-84710c7967bb|2016-12-06 14:36:46.4966|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
80000139-0000-f600-b63f-84710c7967bb|2016-12-06 14:37:23.5486|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
80000139-0000-f600-b63f-84710c7967bb|2016-12-06 14:40:39.0459|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
800001be-0001-fa00-b63f-84710c7967bb|2016-12-06 14:41:09.7514|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/Games/Index
8000013f-0000-f600-b63f-84710c7967bb|2016-12-06 14:42:14.8151|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
8000012e-0001-e700-b63f-84710c7967bb|2016-12-06 14:45:33.7346|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
80000363-0000-f700-b63f-84710c7967bb|2016-12-06 14:46:57.2546|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
80000049-0003-f600-b63f-84710c7967bb|2016-12-06 15:34:42.2698|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
8000017f-0000-e100-b63f-84710c7967bb|2016-12-06 15:36:28.7546|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
80000044-0000-f200-b63f-84710c7967bb|2016-12-06 15:46:42.1585|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
80000114-0002-fc00-b63f-84710c7967bb|2016-12-06 15:47:38.2383|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
80000146-0002-ee00-b63f-84710c7967bb|2016-12-06 15:50:44.9344|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
8000018e-0000-e100-b63f-84710c7967bb|2016-12-06 15:54:41.0293|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
80000192-0000-ee00-b63f-84710c7967bb|2016-12-06 15:56:24.7038|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
80000079-0000-e300-b63f-84710c7967bb|2016-12-06 16:22:00.3459|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
800001ce-0001-f100-b63f-84710c7967bb|2016-12-06 16:24:26.2858|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
80000a38-0000-e700-b63f-84710c7967bb|2016-12-06 16:27:37.8637|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
80000251-0003-ee00-b63f-84710c7967bb|2016-12-06 16:30:56.4369|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
80000483-0001-fa00-b63f-84710c7967bb|2016-12-06 18:07:27.2855|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
80000350-0003-eb00-b63f-84710c7967bb|2016-12-06 18:09:35.1903|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
80001af5-0001-e900-b63f-84710c7967bb|2016-12-06 18:13:03.1691|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
800003bf-0001-ff00-b63f-84710c7967bb|2016-12-06 18:13:34.5734|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
800001bd-0002-f900-b63f-84710c7967bb|2016-12-06 18:14:07.2955|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
